,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,days_since_1900
0,0,38,0.509,0.872,2,-5.17,1,0.0547,0.0396,1.54e-05,0.331,0.486,95.969,194375,4,3,42176
1,0,58,0.182,0.0377,11,-33.748,0,0.0391,0.987,0.957,0.0804,0.0923,100.482,241804,4,2,44510
2,0,36,0.55,0.941,0,-3.128,0,0.0849,0.0182,0.00375,0.312,0.351,145.006,260276,4,16,41444
3,0,0,0.569,0.719,6,-8.399,0,0.0663,0.867,0.941,0.176,0.643,145.118,165200,4,0,41154
4,0,0,0.631,0.661,8,-5.694,1,0.0558,0.0146,0.72,0.365,0.33,130.004,245933,4,4,39446
5,1,50,0.698,0.85,10,-5.173,0,0.0285,0.00194,0.00592,0.118,0.194,120.029,230000,4,13,42555
6,0,0,0.832,0.581,7,-15.031,1,0.0482,0.0441,0.000376,0.499,0.968,132.932,449880,4,17,28277
7,1,0,0.523,0.438,0,-11.49,0,0.0356,0.867,0.0723,0.123,0.106,126.028,245240,4,18,41419
8,1,64,0.652,0.818,11,-4.223,1,0.221,0.129,0.0,0.234,0.373,92.246,204959,4,9,43397
9,0,0,0.504,0.739,9,-7.265,1,0.0316,0.0179,0.08,0.0949,0.417,128.918,248360,4,18,27001
10,0,74,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,328093,4,13,32435
11,0,66,0.542,0.915,9,-9.637,1,0.0549,0.319,5.34e-05,0.171,0.92,159.81,175400,4,18,32872
12,0,0,0.524,0.904,0,-2.614,0,0.0544,0.103,0.201,0.165,0.413,139.976,271067,4,15,42312
13,0,65,0.562,0.82,4,-4.253,0,0.0911,0.191,0.0,0.326,0.266,107.953,177222,4,13,44368
14,0,21,0.381,0.975,1,-4.954,1,0.147,0.0832,0.00415,0.222,0.323,127.221,139960,4,14,35429
15,0,0,0.67,0.945,6,-6.721,1,0.0365,0.0228,0.686,0.0572,0.806,135.972,199133,4,6,40778
16,0,0,0.387,0.313,2,-13.493,1,0.0276,0.938,0.000142,0.102,0.332,100.168,182467,3,18,40170
17,0,47,0.694,0.668,6,-8.102,0,0.0752,0.179,1.34e-06,0.0959,0.508,126.979,206067,4,1,43488
18,0,75,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4,18,28854
19,0,1,0.794,0.939,1,-1.344,1,0.0405,0.00326,0.946,0.0629,0.338,126.175,291123,4,13,39935
20,1,53,0.665,0.932,6,-2.497,1,0.0819,0.0109,0.661,0.22,0.258,123.977,187742,4,13,43901
21,0,38,0.721,0.933,2,-4.249,1,0.17,0.0195,0.000365,0.0558,0.182,125.012,384493,4,6,41273
22,0,0,0.595,0.548,7,-6.761,0,0.115,0.00344,0.0,0.134,0.563,188.082,223187,4,13,39385
23,0,0,0.428,0.524,7,-6.04,1,0.0259,0.919,6.16e-05,0.295,0.36,85.774,143493,4,0,39468
24,0,0,0.754,0.88,0,-4.442,1,0.065,0.235,3.99e-05,0.147,0.742,103.968,224630,4,17,42438
25,0,2,0.315,0.95,10,-6.882,0,0.0789,0.0222,0.0,0.741,0.346,79.042,125333,4,18,28854
26,0,0,0.243,0.696,4,-9.006,1,0.0368,0.00336,0.207,0.326,0.487,103.548,275800,4,18,32733
27,0,0,0.718,0.591,1,-13.649,0,0.0897,0.206,0.0,0.493,0.857,109.895,217827,4,20,31776
28,0,54,0.726,0.657,10,-7.066,0,0.0327,0.00765,0.000248,0.0975,0.629,114.996,235707,4,7,43712
29,0,0,0.816,0.838,11,-8.349,1,0.0823,0.0895,0.481,0.0616,0.964,132.964,255520,4,4,39502
30,0,0,0.719,0.317,11,-12.865,0,0.0849,0.747,0.0675,0.0867,0.23,81.999,184040,4,7,37620
31,0,0,0.375,0.29,7,-10.889,1,0.0293,0.734,0.00169,0.185,0.344,113.163,165213,4,18,24078
32,0,0,0.451,0.816,9,-2.859,0,0.042,0.0213,4.05e-06,0.12,0.756,118.517,238867,4,18,29950
33,0,26,0.723,0.727,1,-6.797,0,0.161,0.0101,0.000351,0.0686,0.633,119.951,214000,4,16,43392
34,1,55,0.516,0.945,7,-4.202,1,0.0979,0.000602,0.0683,0.0841,0.101,174.756,210533,4,12,37142
35,0,0,0.619,0.78,9,-14.023,1,0.0349,0.117,0.831,0.0693,0.771,152.581,607427,4,18,26297
36,0,0,0.454,0.888,4,-6.445,0,0.0794,0.00489,0.0,0.117,0.83,157.711,194160,4,13,35140
37,0,0,0.517,0.738,5,-8.606,0,0.246,0.175,0.0219,0.164,0.602,130.01,210680,4,9,41273
38,0,0,0.439,0.822,4,-6.764,1,0.0695,0.0113,0.0,0.133,0.884,176.711,199907,4,18,40542
39,0,74,0.544,0.915,8,-3.405,1,0.0841,0.129,0.000914,0.115,0.51,126.094,184280,4,13,41941
40,0,5,0.671,0.748,2,-10.253,0,0.0366,0.445,0.00349,0.0897,0.905,101.822,205667,4,19,35309
41,0,0,0.608,0.482,6,-9.48,1,0.0333,0.916,0.113,0.422,0.7,129.663,193968,4,10,40626
42,0,0,0.435,0.648,5,-7.71,1,0.0339,0.23,0.939,0.117,0.101,129.992,516013,4,18,39385
43,1,41,0.699,0.316,0,-10.925,1,0.428,0.155,0.0,0.105,0.595,130.759,219400,4,16,44359
44,0,53,0.718,0.676,11,-11.633,0,0.0318,0.153,0.0306,0.0706,0.944,112.711,316267,4,5,40190
45,0,46,0.719,0.819,9,-5.199,0,0.252,0.384,0.0,0.21,0.886,91.367,241533,4,9,36534
46,0,0,0.65,0.665,9,-11.259,1,0.0372,0.0526,4.62e-06,0.13,0.593,115.51,254267,4,18,32424
47,0,0,0.655,0.255,3,-15.543,1,0.0429,0.85,0.122,0.136,0.446,82.569,123173,4,8,26352
48,0,68,0.505,0.627,6,-7.851,1,0.0273,0.423,7.4e-05,0.0755,0.296,141.881,231266,4,3,44251
49,0,60,0.515,0.745,7,-5.359,0,0.0394,0.0156,0.00787,0.485,0.0687,150.134,180800,4,6,42402
50,1,74,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818,240653,4,9,42494
51,0,4,0.574,0.195,7,-15.923,0,0.0386,0.922,0.908,0.11,0.153,93.094,364040,4,10,42130
52,0,65,0.544,0.921,2,-4.03,1,0.0512,0.000504,0.0,0.391,0.603,95.018,198000,4,14,44062
53,0,15,0.726,0.537,0,-8.896,1,0.113,0.316,0.0,0.0707,0.887,96.91,145707,4,14,30417
54,0,55,0.726,0.793,3,-3.052,0,0.0672,0.154,1.61e-06,0.143,0.755,130.003,201453,4,5,39582
55,0,75,0.81,0.538,0,-5.784,0,0.0356,0.528,0.0,0.0951,0.828,109.97,266840,4,13,39081
56,0,2,0.622,0.492,10,-10.471,1,0.0472,0.657,0.172,0.0595,0.757,133.452,374133,4,10,37985
57,0,70,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,228840,4,3,40542
58,1,0,0.788,0.549,5,-7.492,1,0.0445,0.0524,5.24e-06,0.101,0.367,134.964,197885,4,16,43187
59,0,11,0.676,0.802,11,-6.676,0,0.0449,0.000906,0.732,0.276,0.66,128.006,382461,4,7,40593
60,0,82,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,258040,4,13,30283
61,0,24,0.323,0.467,7,-17.17,0,0.0806,0.964,0.933,0.117,0.382,154.4,195317,3,13,43950
62,1,51,0.969,0.701,1,-7.503,1,0.156,0.14,0.00161,0.201,0.905,121.392,289373,4,13,37023
63,0,40,0.521,0.938,2,-3.705,1,0.121,0.0224,0.0,0.0889,0.441,123.008,225773,4,18,26499
64,1,0,0.864,0.666,3,-9.449,0,0.344,0.0127,0.0,0.328,0.811,142.81,163008,4,9,40542
65,0,34,0.654,0.934,9,-10.835,0,0.05,0.00445,0.61,0.0691,0.11,140.878,425448,4,21,34870
66,1,8,0.53,0.83,6,-4.444,1,0.4,0.247,2.39e-06,0.304,0.654,90.788,235516,4,9,43187
67,0,29,0.508,0.928,0,-2.525,1,0.0326,0.184,0.0,0.108,0.823,176.584,166240,4,18,40083
68,0,0,0.608,0.178,2,-17.109,1,0.0264,0.634,0.352,0.166,0.401,84.78,168027,4,18,25162
69,1,84,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,4,13,43774
70,1,53,0.715,0.67,11,-5.779,1,0.194,0.251,0.0,0.109,0.124,86.01,269947,4,13,41986
71,0,63,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,205480,4,18,26297
72,0,0,0.678,0.561,5,-8.814,0,0.32,0.0327,0.114,0.273,0.566,87.729,156418,4,16,43437
73,0,65,0.632,0.397,7,-12.855,1,0.0265,0.536,0.0421,0.106,0.731,110.578,173057,4,18,26663
74,0,0,0.267,0.78,7,-8.777,1,0.055,0.053,0.192,0.271,0.674,144.292,330107,4,18,26749
75,0,54,0.541,0.931,10,-9.687,0,0.0552,0.326,0.129,0.325,0.148,128.584,189701,4,5,40733
76,0,18,0.808,0.939,10,-3.335,0,0.304,0.509,0.0,0.808,0.67,101.852,256547,4,9,38749
77,0,0,0.265,0.889,11,-6.651,0,0.121,0.000241,4.83e-06,0.356,0.591,159.068,145533,4,18,37310
78,0,39,0.822,0.702,1,-13.507,1,0.0898,0.015,0.555,0.115,0.792,115.777,336173,4,7,30315
79,0,49,0.527,0.468,5,-10.487,0,0.0339,0.415,9.99e-06,0.154,0.648,144.967,214285,4,1,30040
80,1,59,0.67,0.531,11,-7.294,0,0.0629,0.0366,0.0,0.132,0.186,100.006,281876,3,13,43037
81,0,41,0.599,0.835,2,-6.027,1,0.147,0.622,0.0,0.28,0.603,188.042,245640,4,16,35794
82,0,57,0.645,0.84,4,-5.894,1,0.0518,0.0452,0.0,0.327,0.805,151.94,200027,4,3,42140
83,0,50,0.7,0.917,2,-7.002,1,0.0539,0.0196,0.844,0.0922,0.0523,132.019,397273,4,21,43974
84,0,8,0.443,0.827,8,-6.893,1,0.0355,0.000431,0.0254,0.0877,0.321,174.068,189655,4,7,42359
85,0,38,0.728,0.609,4,-7.998,0,0.0682,0.417,0.0,0.699,0.807,100.048,215824,4,9,42186
86,0,12,0.751,0.442,0,-7.551,1,0.0313,0.0803,0.00141,0.123,0.851,98.071,161043,3,6,41196
87,0,54,0.439,0.591,10,-8.763,0,0.0499,0.297,0.33,0.616,0.094,63.414,246553,3,13,41244
